sample,strain,oxygen,DAP,replicate_batch,instrument,platform,n_fastq,merged_file
YB1_aer_MinION,YB1,aerobic,+DAP,MinION,MinION,OXFORD_NANOPORE,42,YB1_aer_MinION.fastq.gz
YB1_aer_0508,YB1,aerobic,+DAP,0508,PromethION,OXFORD_NANOPORE,7,YB1_aer_0508.fastq.gz
YB1_ana_v2,YB1,anaerobic,none,v2,PromethION,OXFORD_NANOPORE,17,YB1_ana_v2.fastq.gz
YB1_ana_0507,YB1,anaerobic,none,0507,PromethION,OXFORD_NANOPORE,2,YB1_ana_0507.fastq.gz
YB1_ana_0508,YB1,anaerobic,none,0508,PromethION,OXFORD_NANOPORE,21,YB1_ana_0508.fastq.gz
YB1_aer_clone_0516,YB1,aerobic,+DAP,0516,PromethION,OXFORD_NANOPORE,2,YB1_aer_clone_0516.fastq.gz
YB1_ana_clone_0516,YB1,anaerobic,none,0516,PromethION,OXFORD_NANOPORE,2,YB1_ana_clone_0516.fastq.gz
SL7207_aer_0507,SL7207(WT),aerobic,none,0507,PromethION,OXFORD_NANOPORE,4,SL7207_aer_0507.fastq.gz
SL7207_aer_0509,SL7207(WT),aerobic,none,0509,PromethION,OXFORD_NANOPORE,2,SL7207_aer_0509.fastq.gz
SL7207_ana_0509,SL7207(WT),anaerobic,none,0509,PromethION,OXFORD_NANOPORE,7,SL7207_ana_0509.fastq.gz
dAsd_aer_0511,Δasd,aerobic,+DAP,0511,PromethION,OXFORD_NANOPORE,3,dAsd_aer_0511.fastq.gz
dAsd_ana_0512,Δasd,anaerobic,+DAP,0512,PromethION,OXFORD_NANOPORE,5,dAsd_ana_0512.fastq.gz
dAsd_aer_0514,Δasd,aerobic,+DAP,0514,PromethION,OXFORD_NANOPORE,1,dAsd_aer_0514.fastq.gz
dAsd_ana_0514,Δasd,anaerobic,+DAP,0514,PromethION,OXFORD_NANOPORE,262,dAsd_ana_0514.fastq.gz
PW_aer_0515,PW,aerobic,+DAP,0515,PromethION,OXFORD_NANOPORE,3,PW_aer_0515.fastq.gz
PW_ana_0515,PW,anaerobic,+DAP,0515,PromethION,OXFORD_NANOPORE,2,PW_ana_0515.fastq.gz
PW_aer_0518,PW,aerobic,+DAP,0518,PromethION,OXFORD_NANOPORE,4,PW_aer_0518.fastq.gz
PW_ana_0518,PW,anaerobic,+DAP,0518,PromethION,OXFORD_NANOPORE,3,PW_ana_0518.fastq.gz
SL7207_dap_aer_0520,SL7207+DAP-control,aerobic,+DAP,0520,PromethION,OXFORD_NANOPORE,2,SL7207_dap_aer_0520.fastq.gz
SL7207_dap_ana_0520,SL7207+DAP-control,anaerobic,+DAP,0520,PromethION,OXFORD_NANOPORE,2,SL7207_dap_ana_0520.fastq.gz
PW_aer_0521,PW,aerobic,+DAP,0521,PromethION,OXFORD_NANOPORE,2,PW_aer_0521.fastq.gz
PW_ana_0521,PW,anaerobic,+DAP,0521,PromethION,OXFORD_NANOPORE,2,PW_ana_0521.fastq.gz
SL7207_ana_0522,SL7207(WT),anaerobic,none,0522,PromethION,OXFORD_NANOPORE,2,SL7207_ana_0522.fastq.gz
SL7207_dap_ana_0522,SL7207+DAP-control,anaerobic,+DAP,0522,PromethION,OXFORD_NANOPORE,2,SL7207_dap_ana_0522.fastq.gz
SL7207_dap_aer_0525,SL7207+DAP-control,aerobic,+DAP,0525,PromethION,OXFORD_NANOPORE,3,SL7207_dap_aer_0525.fastq.gz
SL7207_aer_0525,SL7207(WT),aerobic,none,0525,PromethION,OXFORD_NANOPORE,2,SL7207_aer_0525.fastq.gz
dAsd_aer_0526,Δasd,aerobic,+DAP,0526,PromethION,OXFORD_NANOPORE,3,dAsd_aer_0526.fastq.gz
